CA,count
Google Trust Services LLC,165686585903
DigiCert,143466971891
Internet Security Research Group,74114902334
Amazon Trust Services,49031592811
Entrust,40431740394
Sectigo,28737689409
GlobalSign nv-sa,25381555799
GoDaddy,11909262486
Asseco Data Systems S.A. ,1667283995
SECOM Trust Systems CO.,1462656988
Deutsche Telekom Security GmbH,1139260085
Government of Turkey,967353312
SSL.com,364973667
Certigna,251395607
Buypass,209133703
IdenTrust Services,165124357
SwissSign AG,150236018
QuoVadis,140530365
Actalis,106198068
Microsoft Corporation,94558910
Viking Cloud,89150705
HARICA,81370140
eMudhra Technologies Limited,68814455
Government of Spain,64567709
Microsec Ltd.,54635318
Taiwan-CA Inc. ,37478113
D-TRUST,32688130
China Financial Certification Authority ,30407383
Telia Company,26235009
Netlock,23579736
Shanghai Electronic Certification Authority Co.,15500485
Autoridad de Certificacion Firmaprofesional,12953970
Chunghwa Telecom,10966362
Izenpe S.A.,9200028
Government of Hong Kong ,7264275
certSIGN,4192182
OISTE,2430749
Disig,2349041
Eviden,539073
Global Digital Cybersecurity Authority Co.,521464
Krajowa Izba Rozliczeniowa S.A. ,253494
NAVER Cloud Trust Services,148101
Agence Nationale de Certification Electronique,39156
Certainly LLC,2757
e-commerce monitoring GmbH,7
TrustAsia Technologies,1
